"","GEOCODE","CDUID.x","GEOLABEL","allHouses","lt1PPerRoom","gt1PPerRoom","pcGt1PPerRoom","CDUID.y","allHouseholds","ownerOccupied","notOO","pcNotOO"
"160","E07000127",1211166,"West Lancashire",45381,45068,313,0.69,1211166,45381,33122,12259,27.01
"161","E07000128",1211167,"Wyre",47281,46985,296,0.63,1211167,47281,36676,10605,22.43
"162","E07000129",1211168,"Blaby",38686,38409,277,0.72,1211168,38686,31309,7377,19.07
"163","E07000130",1211169,"Charnwood",66516,65824,692,1.04,1211169,66516,47961,18555,27.9
"164","E07000131",1211170,"Harborough",34898,34706,192,0.55,1211170,34898,27238,7660,21.95
"165","E07000132",1211171,"Hinckley and Bosworth",45377,45073,304,0.67,1211171,45377,34826,10551,23.25
"166","E07000133",1211172,"Melton",21490,21356,134,0.62,1211172,21490,15498,5992,27.88
"167","E07000134",1211173,"North West Leicestershire",39128,38847,281,0.72,1211173,39128,28360,10768,27.52
"168","E07000135",1211174,"Oadby and Wigston",21339,21093,246,1.15,1211174,21339,17239,4100,19.21
"169","E07000136",1211175,"Boston",27291,26797,494,1.81,1211175,27291,17430,9861,36.13
"170","E07000137",1211176,"East Lindsey",60890,60435,455,0.75,1211176,60890,42137,18753,30.8
"171","E07000138",1211177,"Lincoln",39825,39226,599,1.5,1211177,39825,21932,17893,44.93
"172","E07000139",1211178,"North Kesteven",45972,45749,223,0.49,1211178,45972,34187,11785,25.64
"173","E07000140",1211179,"South Holland",37264,36802,462,1.24,1211179,37264,27035,10229,27.45
"174","E07000141",1211180,"South Kesteven",57344,56998,346,0.6,1211180,57344,39809,17535,30.58
"175","E07000142",1211181,"West Lindsey",38385,38191,194,0.51,1211181,38385,27859,10526,27.42
"176","E07000143",1211182,"Breckland",54519,53900,619,1.14,1211182,54519,37427,17092,31.35
"177","E07000144",1211183,"Broadland",53336,53093,243,0.46,1211183,53336,42343,10993,20.61
"178","E07000145",1211184,"Great Yarmouth",42079,41489,590,1.4,1211184,42079,27073,15006,35.66
"179","E07000146",1211185,"King's Lynn and West Norfolk",62977,62191,786,1.25,1211185,62977,43707,19270,30.6
"180","E07000147",1211186,"North Norfolk",46046,45709,337,0.73,1211186,46046,32293,13753,29.87
"181","E07000148",1211187,"Norwich",60319,59546,773,1.28,1211187,60319,26442,33877,56.16
"182","E07000149",1211188,"South Norfolk",52809,52501,308,0.58,1211188,52809,39555,13254,25.1
"183","E07000150",1211189,"Corby",25215,24917,298,1.18,1211189,25215,15669,9546,37.86
"184","E07000151",1211190,"Daventry",31647,31419,228,0.72,1211190,31647,22688,8959,28.31
"185","E07000152",1211191,"East Northamptonshire",35662,35385,277,0.78,1211191,35662,25837,9825,27.55
"186","E07000153",1211192,"Kettering",39701,39328,373,0.94,1211192,39701,27562,12139,30.58
"187","E07000154",1211193,"Northampton",88731,86756,1975,2.23,1211193,88731,55622,33109,37.31
"188","E07000155",1211194,"South Northamptonshire",34717,34557,160,0.46,1211194,34717,26485,8232,23.71
"189","E07000156",1211195,"Wellingborough",32057,31661,396,1.24,1211195,32057,21286,10771,33.6
"190","E07000163",1211196,"Craven",24583,24431,152,0.62,1211196,24583,17973,6610,26.89
"191","E07000164",1211197,"Hambleton",38117,37937,180,0.47,1211197,38117,26508,11609,30.46
"192","E07000165",1211198,"Harrogate",67169,66690,479,0.71,1211198,67169,47738,19431,28.93
"193","E07000166",1211199,"Richmondshire",20207,20027,180,0.89,1211199,20207,12910,7297,36.11
"194","E07000167",1211200,"Ryedale",22524,22371,153,0.68,1211200,22524,15124,7400,32.85
"195","E07000168",1211201,"Scarborough",49435,48974,461,0.93,1211201,49435,32520,16915,34.22
"196","E07000169",1211202,"Selby",34559,34248,311,0.9,1211202,34559,25911,8648,25.02
"197","E07000170",1211203,"Ashfield",50931,50432,499,0.98,1211203,50931,35261,15670,30.77
"198","E07000171",1211204,"Bassetlaw",47667,47279,388,0.81,1211204,47667,33115,14552,30.53
